
1,123,Cong Tan,Big Data & Machine Learning,18:48:48,04/08/21,Di tre
1,123,Cong Tan,Big Data & Machine Learning,18:48:48,04/08/21,Di tre
1,123,Cong Tan,Big Data & Machine Learning,18:48:48,04/08/21,Di tre
1,123,Cong Tan,Big Data & Machine Learning,18:48:48,04/08/21,Di tre
1,123,Cong Tan,Big Data & Machine Learning,18:48:48,04/08/21,Di tre
1,123,Cong Tan,Big Data & Machine Learning,18:48:48,04/08/21,Di tre
1,123,Cong Tan,Big Data & Machine Learning,18:48:48,04/08/21,Di tre
1,123,Cong Tan,Big Data & Machine Learning,18:48:48,04/08/21,Di tre
1,123,Cong Tan,Big Data & Machine Learning,18:48:48,04/08/21,Di tre
1,123,Cong Tan,Big Data & Machine Learning,18:48:48,04/08/21,Di tre
1,123,Cong Tan,Big Data & Machine Learning,18:48:49,04/08/21,Di tre
1,123,Cong Tan,Big Data & Machine Learning,18:48:49,04/08/21,Di tre
1,123,Cong Tan,Big Data & Machine Learning,18:48:49,04/08/21,Di tre
1,123,Cong Tan,Big Data & Machine Learning,18:52:15,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:15,04/08/21,Di tre
1,123,Cong Tan,Big Data & Machine Learning,18:52:15,04/08/21,Di tre
1,123,Cong Tan,Big Data & Machine Learning,18:52:15,04/08/21,Di tre
1,123,Cong Tan,Big Data & Machine Learning,18:52:15,04/08/21,Di tre
1,123,Cong Tan,Big Data & Machine Learning,18:52:54,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:54,04/08/21,Di tre
1,123,Cong Tan,Big Data & Machine Learning,18:52:55,04/08/21,Di tre
1,123,Cong Tan,Big Data & Machine Learning,18:52:55,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:55,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:56,04/08/21,Di tre
1,123,Cong Tan,Big Data & Machine Learning,18:52:56,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:56,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:56,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:56,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:56,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:56,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:56,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:56,04/08/21,Di tre
1,123,Cong Tan,Big Data & Machine Learning,18:52:56,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:56,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:56,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:57,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:57,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:57,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:57,04/08/21,Di tre
1,123,Cong Tan,Big Data & Machine Learning,18:52:57,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:57,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:57,04/08/21,Di tre
1,123,Cong Tan,Big Data & Machine Learning,18:52:57,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:57,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:57,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:57,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:58,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:58,04/08/21,Di tre
1,123,Cong Tan,Big Data & Machine Learning,18:52:58,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:58,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:58,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:58,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:58,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:58,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:58,04/08/21,Di tre
1,123,Cong Tan,Big Data & Machine Learning,18:52:58,04/08/21,Di tre
2,234,Testeer,Cong nghe phan mem,18:52:58,04/08/21,Di tre
1,123,Cong Tan,Big Data & Machine Learning,18:52:58,04/08/21,Di tre
